review	rating
great stay l hotel stayed l hotel hk week dec weekof jan . great stay rooms small typical hk size say , nice sized table chairs room helpful laptop , rooms clean customer service great .really nice large sized bathroom heated floors , housekeepingdid good job cleaning rooms gone .hotel convenient causeway bay minute tram ride away 2hkd .internet quick ethernet cable bottles water provided daily , refridgerator available room tv , gripe relatively slow elevators lack iron room housekeeping brought quickly usually 5 mins not really issue , hotel rooms floor hotel quietand did n't experience noise issues 23rd floor .tv ok lot chinese channels austrailian german tv , no american channels did startv awhile shows .all satisfied surprised disappointed unless expecting 5* establishment	5
first-rate experience stay library hotel wife n't pleased , staff accomodations exceptional location extremely convenient planned 2nd floor reading room superb spot enyoy wine cheese evening dinner continental breakfast morning , regret n't stay longer , definitely return	5
castle inn great value booked castle inn direct got informative e-mail set standard 4 night stay , room standard motel room clean decoration good equipped microwave fridge/freezer , lady desk gave lots information not checked , helpful stay , overall great value agood place stay staying time san francisco	5
yecch , hotel la playa seedy feel moment , walked room smell cigarette smoke overwhelming , surprised moment commenting maid emerged bathroom cigarette dangling lip bed uncomfortable sheets itchy , bathroom sketchy warrant wearing flip-flops shower , drinks bar tasted like rubbing alcohol specifically ordered 2nd shelf liquor , overall place just dive .like travelers tight budget , night san juan stayed gorgeous guest house andalucia ocean park , exact price worlds apart , trust not need punish stay hotel la playa just save money	1
come expect marriott great location helpful staff stayed marriott nights layover washington delhi husband , platinum status marriott did n't consider staying , agree comments outstanding service hotel , concierge helped times providing great recommendations perfect directions navigate town , recommended local bus airport instead longer route tram train incredibly expensive taxi .our room n't ready arrived able relax executive lounge waited , ended fantastic room hotel floor , good-sized terrace enjoy great view canal street , room quite spacious amentities expect marriott , electric plug wonderful , nice not worry converters , just little hard cover unlike euro uk ones .breakfast included package booked great deal 25 euros restaurant downstairs , breakfast buffet good , huge selection bread cheese fruit hot dishes , thoroughly enjoyed paid 25 euros , internet access rooms incredibly expensive fortunately able use computers executive lounge .the location great , conveniently located lot sites n't feel like middle tourist central , just short walk main museums , street large selection restaurants bars , bus tram stops just street need , holland casino located street , no vegas provide hour entertainment admission free passes hotel .we bought 2-day amsterdam passes airport tourism desk proved good value , able answer sorts questions booked tickets day anne frank house , line n't long went end day heard lines quite long peak times , best book tickets advance .back marriott think hotel able make service lacks charm character , stay especially traveling business business services hotel great	4
outstanding great ambiance superb customer service , absolute gem botique hotel , far batting average hotels 100 thanks web good research , hotel v minimalist__Ç_é_ dream classic louis poulsen artichoke chandelier hanging bed sleek teak shelving bathroom terrazzo shower floor , staff wonderful oh hip helpful__Ç breakfasts__Ç , measure generally judge property fantastic complete new favorite vacation toast topping used just nutella it__Ç_é_ nutella hagelslag chocolate sprinkles , yeah know bit redundant oh inappropriate breakfast vacation foods corresponding day irrelevant , furthermore hotel v resides perfect neighborhood setting set day adventures discovery	5
horrible experience terrible service experience worst , soon got hotel took wrong place , supposed stay grand paradise instead took club apparently didn__Ç_é_ rooms available group 69 people total eventhough reservation 6 months advance , club 7 minutes walking 3 minutes taking little train grand paradise main hotel activities restaurants located , club activities french restaurant .the rooms club disaster , bad smell leaky toilet poor lighting no decorations room no ac not towels , change rooms conditions not appropriate months old baby , second room got did not smell bad ac did not work , husband complained room no room given , bad service hotel taken level , terrible , didn__Ç_é_ consideration fact baby .the restaurants just bad service , got sick day , no bottled water food order la carte didn__Ç_é_ , point making reservations went restaurants didn__Ç_é_ wanted eat , service buffet bad , time went eat didn__Ç_é_ forks table , asked didn__Ç_é_ , thing happened asked drinks , it__Ç_é_ not language speak spanish fluently spanish language it__Ç_é_ not tipping tipped , bad service that__Ç_é_ it__Ç_é_ called .neither husband nor nor group recommend hotel anybody	1
brilliant hotel stayed march 2005 mother daughter weekend daughter friend daughter , rooms excellent kitchen area great super bathroom , location excellent staff extremely helpful , definitely use hotel	5
loved , october travel birmingham london celebrate birthdays whilst looking hotels boxes safe room close tourist sites party attending came lbh , concern parking drive ncp just 5mins walk away , outside looks quite plain inside greeted extremely helpful concierge reception staff tasteful decor , room upgraded stayed 1st floor overlooking hotel no noise traffic , room spacious comfortable worked , large flat screen tv lovely queen size bed great , large desk great face slippers dressing gown welcome saved taking , breakfast taken small bright beautifully arranged downstairs breakfast room , large choice food plenty veggie , drinks lovely plenty waiting staff look need , lb train tube station close plenty nice bars restaurants , ordered room service 2nd night omelette chips time fantastic especially hard days sight seeing , completed hotel questionnaire returning home received personal reply just 2 wks later postal strikes , definitely stay visit london hopefully oct 08	5
nice hotel husband stayed warwick 4 years ago liked hotel location did not hesitate book trip .we asked received non-smoking room king bed high floor , hoping hotel nice view space needle , check-in nice friendly , keys minutes nice room small loveseat juliet balcony .love location hotel just block away best restaurants downtown dahlia lounge palace kitchen lola small grocery store/mini-mart right street wine , easy walk pike place market .on site hotel nice restaurant lounge area , ate breakfast hotel drinks lounge/bar times , good service .we did n't chance use did look pool exercise room located basement , pool small definitely useable , exercise room variety machines weights not newest market definitely decent machines , kept neat clean exercise room plenty towels water cooler available .i think ran maid days leaving friendly .we used business center couple times consisted 2 computers free internet printer , just needed ask key desk , nice handy .overall thought staff helpful hotel quiet good location definitely met expectations did stayed years ago , definitely return hope soon	4
small located reviews emphasise rooms hotel small , not exaggerating , rooms tiny , aware american visitors expect generously proportioned rooms seasoned uk traveller n't think stayed smaller room includes city centre ibis rooms , said rooms equipped venice tourist wo n't spending time hotel room case , stayed double economy room 202 think hotel makes size compensates terms location , really stone throw st mark square easy san marks san zaccaria water stops .as reported management team friendly efficient hospitable n't think inclined speak quite gushing tones reviewers .would stay , probably , inclined chance arm little bit space compromise location , venice compact city location hotel n't end	4
